__time,/record/cur_comp.0,/record/cur_comp.1,/record/cur_comp.2,/record/cur_comp.3,/record/cur_comp.4,/record/cur_comp.5,/record/cur_fb.0,/record/cur_fb.1,/record/cur_fb.2,/record/cur_fb.3,/record/cur_fb.4,/record/cur_fb.5,/record/cur_fric.0,/record/cur_fric.1,/record/cur_fric.2,/record/cur_fric.3,/record/cur_fric.4,/record/cur_fric.5,/record/cur_null.0,/record/cur_null.1,/record/cur_null.2,/record/cur_null.3,/record/cur_null.4,/record/cur_null.5,/record/pos_q.0,/record/pos_q.1,/record/pos_q.2,/record/pos_q.3,/record/pos_q.4,/record/pos_q.5,/record/pos_t.0,/record/pos_t.1,/record/pos_t.2,/record/pos_x.0,/record/pos_x.1,/record/pos_x.2
1702560114.536366,-0.180938215,-0.005236242,0.028593292,-0.234438740,-0.051536696,0.000000000,-0.621618807,2.871294022,-2.325030327,-1.467470884,-0.564229012,0.323086679,-0.586449945,0.613682843,0.734300809,-0.517898048,0.021102518,0.595007242,-0.046449945,-0.043965176,0.044300809,-0.223315481,-0.048921091,0.005007242,-0.814766439,-0.379005640,1.767103790,-1.731394528,-1.094999162,-0.012653744,0.105104481,-0.296558345,0.122047138,0.123614401,-0.281772698,0.120519597
1702560114.547195,-0.229972748,-0.010973569,0.062373618,-0.281111331,-0.092299193,-0.000000000,-0.635632157,2.481142044,-2.296207428,-1.485270143,-0.155484602,0.316510886,-0.656209347,0.986114311,0.762995249,-0.564426418,0.085114592,0.594755242,-0.116209347,-0.050201926,0.072995249,-0.271659087,-0.089586295,0.005046526,-0.818526822,-0.377762476,1.767232687,-1.731365233,-1.095443378,-0.012661200,0.105104481,-0.296558345,0.122047138,0.122543263,-0.282227110,0.120865608
1702560114.557892,-0.232449035,-0.003004988,0.012287245,-0.316861341,-0.039458399,-0.000000000,-0.639009774,2.775511026,-2.302249670,-1.508445382,-0.086321145,0.339724869,-0.663263248,-0.000800233,0.725252032,-0.543138007,-0.439170883,0.593901181,-0.123263248,-0.010343034,0.035252032,-0.305803162,-0.039170883,0.005065647,-0.821270411,-0.376660993,1.767315777,-1.731098917,-1.095228727,-0.012661200,0.105104481,-0.296558345,0.122047138,0.121913119,-0.282625659,0.121142731
1702560114.569565,-0.223953328,0.002919156,-0.045340370,-0.341545755,0.037090577,0.000000000,-0.691168368,1.427176356,-2.359508038,-1.507742763,-0.592766464,0.322317004,-0.657310594,1.084928533,-0.586374714,-0.638276310,-0.365621838,0.594468877,-0.117310594,0.034928533,-0.006438168,-0.328276310,0.034378162,0.005052436,-0.823648614,-0.375992540,1.767512851,-1.731198519,-1.096353113,-0.012657472,0.101993223,-0.297642716,0.122047138,0.121018634,-0.282738911,0.121337572
1702560114.580655,-0.160034128,0.001135959,-0.093621329,-0.280633093,0.138629859,-0.000000000,-0.615999460,2.875558376,-3.788199186,-1.542367816,-0.519395471,0.322471082,-0.578587636,1.144279492,-0.715882697,-0.572449849,-0.268771473,0.595033792,-0.038587636,0.094279492,-0.025882697,-0.262449849,0.131228527,0.005033792,-0.826462510,-0.375616501,1.767303527,-1.731413170,-1.099885530,-0.012664929,0.101993223,-0.297642716,0.122047138,0.119611501,-0.282583710,0.121598584
1702560114.592408,-0.113573224,0.013393121,-0.206199800,-0.287781927,0.289252132,0.000000000,-0.530561090,2.929187059,-3.781023979,-1.450480700,-0.363415569,0.310809404,-0.525283591,1.174949360,-0.580545642,-0.536778707,-0.119528428,0.595030297,0.014716409,0.124949360,-0.129814022,-0.267972859,0.280471572,0.005030297,-0.829330201,-0.374914492,1.766835876,-1.731184138,-1.104734614,-0.012657472,0.097827540,-0.299037751,0.122047138,0.118093448,-0.282213671,0.122006267
1702560114.603702,-0.190270125,0.000628111,-0.115345008,-0.340932172,0.176207443,0.000000000,-0.587435007,2.989831448,-3.613996983,-1.548036695,-0.350047380,0.345332533,-0.608893928,1.130981298,-0.744181310,-0.629800311,-0.230138549,0.594753597,-0.068893928,0.080981298,-0.054181310,-0.323615344,0.169861451,0.005045047,-0.832888717,-0.373774659,1.766721892,-1.731072818,-1.112317166,-0.012657472,0.097827540,-0.299037751,0.122047138,0.115801162,-0.281389164,0.122568624
1702560114.614882,-0.212423528,0.000596079,-0.103340234,-0.367000134,0.152474369,0.000000000,-0.639708996,2.926636219,-3.769427061,-1.640111804,-0.421512872,0.345476359,-0.644083515,1.113459820,-0.709533003,-0.661791306,-0.252502621,0.593902219,-0.104083515,0.063459820,-0.052533802,-0.351791306,0.147497379,0.005068665,-0.834098858,-0.372752005,1.766728817,-1.731198519,-1.115608833,-0.012661200,0.097827540,-0.299037751,0.122047138,0.114908531,-0.281052112,0.122969901
1702560114.626633,-0.207180819,0.011757729,-0.228065692,-0.441944431,0.323964033,0.000000000,-0.581940830,2.928621531,-3.752132177,-1.646671295,-0.459299177,0.334567934,-0.640087885,1.214660928,-0.823548096,-0.731602508,-0.087696018,0.594470490,-0.100087885,0.164660928,-0.142307172,-0.421602508,0.312303982,0.005052394,-0.835851218,-0.372132021,1.766741067,-1.731265631,-1.121830510,-0.012657472,0.094690718,-0.300045783,0.122047138,0.113291543,-0.280200420,0.123345530
1702560114.638572,-0.194910038,0.003247165,-0.200402397,-0.408136468,0.315994320,0.000000000,-0.594997048,3.061523438,-3.861861467,-1.709168434,-0.328423977,0.311235338,-0.623293783,1.182507190,-0.814028393,-0.698924815,-0.093837847,0.595017591,-0.083293783,0.132507190,-0.124028393,-0.388924815,0.306162153,0.005017591,-0.838441408,-0.371162098,1.766646259,-1.731568699,-1.130067667,-0.012661200,0.094690718,-0.300045783,0.122047138,0.111094561,-0.279179716,0.123934233
