__time,/record/cur_comp.0,/record/cur_comp.1,/record/cur_comp.2,/record/cur_comp.3,/record/cur_comp.4,/record/cur_comp.5,/record/cur_fb.0,/record/cur_fb.1,/record/cur_fb.2,/record/cur_fb.3,/record/cur_fb.4,/record/cur_fb.5,/record/cur_fric.0,/record/cur_fric.1,/record/cur_fric.2,/record/cur_fric.3,/record/cur_fric.4,/record/cur_fric.5,/record/cur_null.0,/record/cur_null.1,/record/cur_null.2,/record/cur_null.3,/record/cur_null.4,/record/cur_null.5,/record/pos_q.0,/record/pos_q.1,/record/pos_q.2,/record/pos_q.3,/record/pos_q.4,/record/pos_q.5,/record/pos_t.0,/record/pos_t.1,/record/pos_t.2,/record/pos_x.0,/record/pos_x.1,/record/pos_x.2
1702560366.114154,-0.336091130,0.025823224,-0.609875203,-0.848081047,1.013572464,-0.000000000,-0.788924754,2.917013407,-4.385118008,-1.178528666,0.966813982,0.322265625,-0.876091130,1.075823224,-1.255551635,-0.538081047,1.413572464,-0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.229369488,-0.417625204,1.632166211,-1.531450785,-1.367029882,-0.012683038,0.014903778,-0.314279623,0.122047138,0.033142422,-0.263215475,0.133277087
1702560366.127055,-0.349910456,0.022767197,-0.605512024,-0.859171858,1.023877361,-0.000000000,-0.949811637,3.051712990,-4.321815968,-1.473416567,1.001589894,0.356840491,-0.889910456,1.072767197,-1.295512024,-0.549171858,1.423877361,-0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.235793032,-0.415809461,1.632078859,-1.518205287,-1.367059710,-0.012683038,0.018194029,-0.314106322,0.122047138,0.034660932,-0.262251274,0.133230854
1702560366.139173,-0.417737954,0.026990722,-0.625046071,-0.978312444,1.041886906,0.000000000,-0.961111069,2.865544319,-4.396684170,-1.326964498,1.041672111,0.368707985,-0.957737954,1.076990722,-1.302613481,-0.668312444,1.441886906,0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.242847213,-0.413960162,1.632090577,-1.504164036,-1.367063438,-0.012683038,0.018194029,-0.314106322,0.122047138,0.036224372,-0.261253735,0.133188404
1702560366.150268,-0.350171913,0.028289281,-0.646637711,-0.848665758,1.075393471,-0.000000000,-0.924438179,2.972980738,-4.321873665,-1.373986363,1.070397735,0.374456495,-0.890171913,1.078289281,-1.320447211,-0.538665758,1.475393471,-0.589145987,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.248596978,-0.412330307,1.632107621,-1.493434160,-1.367059710,-0.012664929,0.018194029,-0.314106322,0.122047138,0.037353447,-0.260563807,0.133240612
1702560366.161388,-0.381527545,0.024464993,-0.637518341,-0.891209519,1.081457356,0.000000000,-0.875648081,3.004047632,-4.379374504,-1.313342810,1.081907034,0.368348539,-0.921527545,1.074464993,-1.325105630,-0.581209519,1.481457356,0.589708220,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.254468183,-0.410435735,1.632095904,-1.482337301,-1.366874886,-0.012675582,0.021482285,-0.313898575,0.122047138,0.038582913,-0.259958421,0.133368128
1702560366.172728,-0.384227414,0.022946632,-0.631053434,-0.878940571,1.079707033,0.000000000,-0.861387253,3.046890736,-4.373847008,-1.312397003,1.064627528,0.339529842,-0.924227414,1.072946632,-1.321053434,-0.568940571,1.479707033,0.587686604,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.261403055,-0.408360599,1.632025063,-1.468196981,-1.366467955,-0.012687299,0.021482285,-0.313898575,0.122047138,0.040322470,-0.259243307,0.133480413
1702560366.183962,-0.379060348,0.015459591,-0.588733340,-0.847540908,1.041388367,-0.000000000,-0.930526137,3.066435814,-4.373620033,-1.342632294,1.105285287,0.334567934,-0.919060348,1.065459591,-1.278733340,-0.537540908,1.441388367,-0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.267118731,-0.406766431,1.631847697,-1.459023456,-1.365846374,-0.012675582,0.021482285,-0.313898575,0.122047138,0.041196495,-0.259019175,0.133637582
1702560366.195882,-0.361249988,0.018173176,-0.583968984,-0.800564087,1.018729906,0.000000000,-0.934415102,2.946434259,-4.362110615,-1.290115476,1.013880491,0.333973497,-0.901249988,1.068173176,-1.273968984,-0.490564087,1.418729906,0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.274759873,-0.405178655,1.631489768,-1.448360159,-1.363139004,-0.012661200,0.024768185,-0.313656406,0.122047138,0.042106259,-0.259343197,0.133665967
1702560366.207208,-0.378955019,0.015861333,-0.461056489,-0.795484642,0.802504596,0.000000000,-0.935123622,2.939338923,-4.270023346,-1.012393355,1.069949031,0.322317004,-0.918955019,1.065861333,-1.151056489,-0.485484642,1.202504596,0.589126642,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.280214559,-0.403580758,1.631365665,-1.440163482,-1.359591673,-0.012687299,0.024768185,-0.313656406,0.122047138,0.043007082,-0.259947612,0.133687823
1702560366.218585,-0.264630545,0.009714444,-0.500857139,-0.582773241,0.904352070,-0.000000000,-0.838555098,2.941625357,-4.252758980,-1.191357017,0.800240457,0.339968473,-0.804630545,1.059714444,-1.190857139,-0.272773241,1.304352070,-0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.286319590,-0.401724002,1.630708397,-1.432266144,-1.354568952,-0.012687299,0.028051369,-0.313379841,0.122047138,0.043816315,-0.261208349,0.133792010
1702560366.230055,-0.258432428,-0.001608116,-0.398574837,-0.540046923,0.772331128,-0.000000000,-0.880776525,2.982756138,-4.241905212,-1.019905448,0.959714532,0.351039350,-0.798432428,1.048391884,-1.088574837,-0.230046923,1.172331128,-0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.293130890,-0.399506121,1.629866305,-1.423589032,-1.347644733,-0.012679843,0.028051369,-0.313379841,0.122047138,0.044764522,-0.263039474,0.133917676
1702560366.241505,-0.358142742,-0.002528804,-0.383450465,-0.708413403,0.756218825,-0.000000000,-0.922214448,3.068120003,-4.245241642,-1.099291563,0.858691812,0.345332533,-0.898142742,1.047471196,-1.073450465,-0.398413403,1.156218825,-0.588273101,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.299554435,-0.397745772,1.629513170,-1.415895160,-1.342566085,-0.012661200,0.028051369,-0.313379841,0.122047138,0.045373758,-0.264290080,0.134009173
1702560366.253325,-0.269629100,0.007103533,-0.466113284,-0.551235259,0.855724042,0.000000000,-0.741134107,2.837928772,-4.172668934,-0.975882947,0.814860284,0.333775103,-0.809629100,1.057103533,-1.156113284,-0.241235259,1.255724042,0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.306350822,-0.396112189,1.628322737,-1.406300323,-1.336241077,-0.012675582,0.032424101,-0.312957636,0.122047138,0.046488769,-0.266037782,0.134129442
1702560366.264507,-0.286263603,-0.011124578,-0.310282744,-0.550516474,0.660054072,0.000000000,-0.706592500,2.850945234,-4.299906254,-1.020554662,0.949532628,0.351227969,-0.826263603,0.926328960,-1.000282744,-0.240516474,1.060054072,0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.313658536,-0.394766227,1.627458807,-1.397471411,-1.331939007,-0.012687299,0.032424101,-0.312957636,0.122047138,0.047101296,-0.267256127,0.134280931
1702560366.275930,-0.324919996,0.003259813,-0.492021679,-0.632010334,0.930265730,0.000000000,-1.000216722,1.944660425,-4.103277206,-1.031448364,0.771908224,0.368707985,-0.864919996,1.053259813,-1.182021679,-0.322010334,1.330265730,0.590000000,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.320644540,-0.393371264,1.626779169,-1.387410521,-1.329039357,-0.012668125,0.032424101,-0.312957636,0.122047138,0.048002826,-0.267997813,0.134508921
1702560366.287492,-0.351587505,-0.014718216,-0.374529143,-0.657161169,0.806221819,0.000000000,-0.841452837,2.934924603,-4.336106300,-0.807716727,1.032812119,0.328827053,-0.891587505,1.035281784,-1.064529143,-0.347161169,1.206221819,0.589708881,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.328134415,-0.392011986,1.625679283,-1.376432439,-1.327526149,-0.012687299,0.035699548,-0.312600938,0.122047138,0.048958515,-0.268540464,0.134894492
1702560366.299008,-0.402847819,-0.002283143,-0.463852821,-0.744112298,0.916165728,0.000000000,-0.875118375,2.909442425,-4.206752777,-1.013423204,0.903787911,0.328474373,-0.942847819,0.797365458,-1.140010401,-0.434112298,1.316165728,0.589708386,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.334731065,-0.390260691,1.624890455,-1.363224225,-1.326864619,-0.012679843,0.035699548,-0.312600938,0.122047138,0.050655723,-0.268657999,0.135404624
1702560366.310297,-0.340919149,-0.007138892,-0.441252361,-0.625434270,0.893864065,0.000000000,-1.001920462,2.149302244,-4.224545956,-0.979997516,0.989882767,0.357211500,-0.880919149,1.042861108,-1.131252361,-0.315434270,1.293864065,0.589416777,-0.040533756,-0.001737825,0.020852715,0.151408837,0.081534118,0.005061306,-1.340327431,-0.389110206,1.624639585,-1.353192630,-1.325100009,-0.012683038,0.035699548,-0.312600938,0.122047138,0.051813243,-0.268987032,0.135647037
