__time,/calibration/data.0,/calibration/data.1
1703250724.778638,0.525043780,0.572679754
1703250754.730190,0.527805847,0.562069150
1703250784.529907,0.525779270,0.572660164
1703250814.434134,0.527796004,0.586373951
1703250844.341825,0.529002034,0.577192421
1703250874.239842,0.529079546,0.575119975
1703250904.141446,0.525815143,0.578516723
1703250934.069820,0.527692237,0.589241223
1703250963.874038,0.529580211,0.586851251
1703250993.769329,0.531097462,0.578755713
1703251023.574886,0.536623262,0.580886461
1703251053.476172,0.538567027,0.589737276
1703251083.379843,0.539087477,0.596649865
1703251113.158182,0.536384241,0.590172783
1703251143.060390,0.537346384,0.600570209
1703251172.860877,0.533829039,0.596277390
1703251202.762590,0.535309826,0.598089392
1703251232.571420,0.535925311,0.602253346
1703251262.440026,0.534596503,0.604268305
1703251292.345664,0.533244674,0.593814647
1703251322.150109,0.533715122,0.604473202
1703251351.973720,0.530548123,0.608654592
1703251381.980893,0.532186906,0.596137615
1703251411.781443,0.531271246,0.598573621
1703251441.607265,0.531113211,0.597067820
1703251471.487278,0.533379353,0.603654863
1703251501.288867,0.531828825,0.596934920
1703251531.188396,0.533680107,0.594117224
1703251561.091417,0.529095330,0.584633575
1703251590.994766,0.529964321,0.593031941
1703251620.920579,0.530515650,0.595825079
1703251650.720403,0.532214127,0.563007834
1703251680.549393,0.530222721,0.567636447
1703251710.453223,0.533225501,0.601249625
1703251740.357445,0.532214294,0.594545548
1703251770.260854,0.530343374,0.599189072
1703251800.135140,0.535610961,0.601568735
1703251830.066525,0.532859277,0.598339356
1703251859.862721,0.530832563,0.604592536
1703251889.665033,0.533658394,0.602262671
1703251919.570734,0.530567372,0.604568990
1703251949.497791,0.528051921,0.608514529
1703251979.394784,0.533774415,0.606276214
1703252009.205264,0.529723771,0.607593989
1703252039.148181,0.531100396,0.595000161
1703252069.055605,0.533089789,0.592469733
1703252098.957649,0.530163793,0.595100473
1703252128.887654,0.534145258,0.584583793
1703252158.886415,0.530405474,0.590916588
