__time,/calibration/data.0,/calibration/data.1,/calibration/data.2,/calibration/data.3,/calibration/data.4,/calibration/data.5,/calibration/data.6,/calibration/data.7
1703245177.055859,2.035637902,0.379479485,1.917606659,0.292062011,1.028792844,0.665951917,0.307276180,1.579137298
1703245256.195056,2.030789417,0.375718584,1.914822119,0.297344960,1.029260310,0.668265973,0.307031382,1.567958306
1703245335.381998,2.029161225,0.373346877,1.907038124,0.293710509,1.028757286,0.664328215,0.307243397,1.557732263
1703245414.631119,2.033611039,0.375467143,1.909994222,0.293241667,1.028970572,0.664128608,0.306720832,1.558790255
1703245493.885647,2.037495858,0.372741945,1.916028458,0.297020031,1.029298842,0.666575490,0.307547153,1.548809849
1703245573.123124,2.034151458,0.374939055,1.917163678,0.297210009,1.028983447,0.664903369,0.307074378,1.537172860
1703245652.299491,2.036791710,0.372190504,1.918073342,0.295784058,1.029102588,0.666829711,0.307379482,1.529825582
1703245731.550835,2.032725880,0.373852335,1.909722165,0.297493927,1.027935874,0.669064611,0.307688967,1.533147892
1703245810.642831,2.037339659,0.374230687,1.911828512,0.296978437,1.029130888,0.669306599,0.307380035,1.526099966
1703245889.863645,2.036952439,0.374709971,1.910855822,0.301918754,1.027965792,0.672508303,0.306691689,1.522770452
1703245969.071703,2.034417116,0.374042620,1.914400447,0.300845349,1.028565690,0.672294863,0.307487699,1.514154500
1703246048.365034,2.036917999,0.372486626,1.912219861,0.303294356,1.027508770,0.673628617,0.307315159,1.508779163
1703246127.604532,2.031893210,0.371917811,1.904559237,0.298349019,1.027931655,0.677505505,0.307511665,1.511512203
1703246206.718556,2.042444769,0.374509659,1.905757856,0.297883060,1.028209284,0.674701024,0.307972967,1.497140987
1703246286.058014,2.042903200,0.373041411,1.904604173,0.302101007,1.027914718,0.675862317,0.307689321,1.501608323
1703246365.321601,2.039700839,0.370217021,1.906601794,0.304873167,1.027239060,0.674081637,0.307752736,1.488524962
1703246444.580778,2.038978166,0.372727877,1.911673594,0.302040682,1.028268078,0.675113191,0.307361823,1.489693084
1703246523.747941,2.031784540,0.373659729,1.898044430,0.298277451,1.028628862,0.673470215,0.307127439,1.483719767
1703246602.963645,2.037376345,0.372395703,1.913229520,0.300223206,1.028952446,0.677402624,0.307475442,1.487771296
1703246682.161276,2.034610392,0.369288072,1.910112840,0.301104365,1.028105132,0.677565648,0.307828650,1.492608826
1703246761.342679,2.044266448,0.371823922,1.902224796,0.300887390,1.028079431,0.672533737,0.307103987,1.479283978
1703246840.514997,2.045144041,0.370711945,1.906219573,0.302924020,1.027403140,0.670511620,0.307167985,1.482431222
1703246919.582459,2.031106524,0.371170701,1.918307673,0.304557727,1.029083479,0.666980997,0.307560721,1.480014254
1703246998.832704,2.041967901,0.372392126,1.901357992,0.302492186,1.027813827,0.665974263,0.308214068,1.472416834
1703247078.046881,2.035468453,0.371651937,1.905388284,0.302627396,1.027678667,0.668272966,0.307556261,1.464770614
1703247157.271698,2.039151345,0.373524677,1.903098475,0.301018895,1.027223615,0.666705678,0.306885844,1.463887802
1703247236.462321,2.038686701,0.373794426,1.909828858,0.306215040,1.028092345,0.671169909,0.307732156,1.458740547
1703247315.709222,2.034879672,0.374485113,1.899597008,0.298322253,1.027226006,0.674926560,0.308185197,1.456680006
1703247394.869875,2.035670242,0.371328034,1.917531746,0.302783120,1.028467077,0.671622494,0.307791389,1.450735336
1703247474.075682,2.034776531,0.372688150,1.919080069,0.300554140,1.026429110,0.672926517,0.307080406,1.445084204
1703247553.233851,2.037742294,0.374667813,1.895563288,0.296248211,1.027437797,0.669463134,0.307138986,1.451456820
1703247632.446770,2.043566968,0.369031396,1.903360085,0.301041796,1.027414590,0.672378880,0.307701652,1.448333836
1703247711.647047,2.041771328,0.373615183,1.900080022,0.303205874,1.028419217,0.669827778,0.306658998,1.448313574
1703247790.936749,2.028768176,0.374425230,1.911926033,0.301067658,1.027562860,0.673485807,0.307967093,1.456047386
1703247870.276920,2.037013948,0.370837961,1.901777596,0.305094648,1.028036184,0.675099558,0.307240417,1.439658961
1703247949.434871,2.040214105,0.372505977,1.906310445,0.302771927,1.028410360,0.673939140,0.306990358,1.441843586
1703248028.639748,2.038253924,0.371916543,1.893377085,0.302262451,1.027758729,0.669372896,0.307731791,1.435524066
1703248107.893815,2.035934035,0.373005848,1.901657620,0.305351491,1.027392887,0.670187441,0.307549869,1.444670702
1703248187.125304,2.042624933,0.374743586,1.902966293,0.306704567,1.028816528,0.670049862,0.306379595,1.434615205
1703248266.397502,2.042598770,0.373290878,1.905170858,0.300605018,1.028042257,0.669767779,0.307209536,1.425881416
1703248345.560808,2.036007484,0.373091179,1.908996137,0.301388847,1.028333343,0.667091393,0.307115387,1.434808437
1703248424.787011,2.043476777,0.373117788,1.893081927,0.302181638,1.027555495,0.661538139,0.307756361,1.435100176
1703248504.039018,2.035612734,0.375150042,1.906581567,0.306466523,1.027509569,0.662997374,0.306631474,1.430066902
1703248583.270817,2.038513104,0.376467433,1.908974875,0.306954214,1.028521860,0.663243932,0.306584842,1.428311216
1703248662.465823,2.039906522,0.375858198,1.906890970,0.302932783,1.028081287,0.665007668,0.307339013,1.427443898
1703248741.699482,2.031690219,0.373060542,1.906813232,0.303528648,1.028758703,0.660763646,0.308007215,1.447624560
1703248820.872594,2.039203933,0.372199737,1.903901138,0.304211298,1.028061482,0.661465533,0.309432363,1.446874220
1703248900.039516,2.039536064,0.373002590,1.909200723,0.309817891,1.027388200,0.664580313,0.308134881,1.418401770
1703248979.237284,2.038484175,0.373800805,1.900422603,0.305520555,1.028884558,0.658142853,0.306961842,1.415943659
