__time,/record/cur_comp.0,/record/cur_comp.1,/record/cur_comp.2,/record/cur_comp.3,/record/cur_comp.4,/record/cur_comp.5,/record/cur_fb.0,/record/cur_fb.1,/record/cur_fb.2,/record/cur_fb.3,/record/cur_fb.4,/record/cur_fb.5,/record/cur_fric.0,/record/cur_fric.1,/record/cur_fric.2,/record/cur_fric.3,/record/cur_fric.4,/record/cur_fric.5,/record/cur_null.0,/record/cur_null.1,/record/cur_null.2,/record/cur_null.3,/record/cur_null.4,/record/cur_null.5,/record/pos_q.0,/record/pos_q.1,/record/pos_q.2,/record/pos_q.3,/record/pos_q.4,/record/pos_q.5,/record/pos_t.0,/record/pos_t.1,/record/pos_t.2,/record/pos_x.0,/record/pos_x.1,/record/pos_x.2
1704447581.49671,0.126030401,-0.035819497,0.017762725,0.193857946,0.12513316,0,0.558239758,1.463335156,-2.589660168,-0.454661161,0.466276288,0.056677647,0.539012774,0.727145296,0.421720341,0.473020811,0.477160051,0.563010138,0.033565836,0.001659665,0.019058764,0.188348097,0.122453776,0.000061244,0.208102337,-0.326474788,1.740741158,-1.619878386,-1.098291362,-0.00019228,0.314578562,-0.000497776,0.122140351,0.31015073,-0.014572119,0.133551403
1704447581.50873,0.05257397,-0.036786956,0.03180335,0.096270831,0.101990595,0,0.45825246,1.858790994,-3.712255478,-0.512204468,0.431644112,0.060081284,0.416609244,0.801321023,0.530084845,0.360432606,0.435528346,0.533729696,-0.062577803,0.002471704,0.030517682,0.088941337,0.099250411,0.00002814,0.210714099,-0.326694765,1.740865794,-1.619864005,-1.098420792,-0.000181095,0.314578562,-0.000497776,0.122140351,0.31008442,-0.013781526,0.133459047
1704447581.52006,0.087635054,-0.0319275,-0.009203334,0.126955465,0.154213956,0,0.458216339,2.43047142,-2.653691769,-0.483946204,0.391364872,0.057547431,0.444321533,-0.462804344,-0.16151034,0.378324945,0.472478929,0.511608597,-0.014989974,-0.001594751,-0.012182865,0.12015151,0.152146558,0.000043712,0.214263294,-0.326421524,1.741079912,-1.619889571,-1.098516665,-0.000184823,0.314578562,-0.000497776,0.122140351,0.310059978,-0.012703002,0.133498192
1704447581.53168,0.03386639,-0.033571075,0.020842376,0.064293287,0.106806204,0,0.420253873,1.365342379,-3.429846287,-0.535469532,0.414381474,0.049168546,0.354216489,0.479828403,0.547191291,0.30016226,0.407292852,0.482662696,-0.07990356,0.005341357,0.019615406,0.057099767,0.104089296,0.00010946,0.21864233,-0.326474788,1.741033573,-1.619934312,-1.098516665,-0.000203466,0.314578562,-0.000497776,0.122140351,0.310127535,-0.011352321,0.13349464
1704447581.54319,0.055836619,-0.037085671,0.030250165,0.100318516,0.106135014,0,0.381943285,1.940039873,-3.631698847,-0.519491076,0.374058306,0.070009477,0.373201889,0.698550755,0.461514856,0.326233361,0.397409848,0.466540979,-0.045620452,0.000335007,0.030211588,0.094052559,0.103493907,0.000071493,0.221760625,-0.326549356,1.741064998,-1.620033914,-1.098483642,-0.000188552,0.314578562,-0.000497776,0.122140351,0.310158498,-0.010409077,0.133471406
1704447581.55473,0.054085844,-0.036954824,0.024500071,0.095249506,0.11550129,0,0.421512872,1.255602717,-2.774078846,-0.535222054,0.345332533,0.072792388,0.360800972,-0.424220153,0.534863351,0.318871296,0.398238018,0.452528111,-0.045472183,-0.002965577,0.023393104,0.088917739,0.113128689,0.000035464,0.22467439,-0.326273985,1.741138502,-1.619941236,-1.098420792,-0.000203466,0.314578562,-0.000497776,0.122140351,0.310198327,-0.009480655,0.133532645
1704447581.56603,-0.018185999,-0.034865112,0.034638809,-0.003118427,0.086274409,0,0.393895239,1.32484138,-2.664750576,-0.592766464,0.356794089,0.05305611,0.245208477,0.487021826,0.516072331,-0.227776023,0.353134961,0.427891172,-0.138921105,0.004269879,0.032479335,-0.010910032,0.083565273,0.000061252,0.228313599,-0.326676122,1.741148089,-1.620011544,-1.098494295,-0.00019228,0.314578562,-0.000497776,0.122140351,0.310171575,-0.008382468,0.133414586
1704447581.57855,0.011806424,-0.037420409,0.036481052,0.040733832,0.095017019,0,0.28251043,2.136754036,-2.652961493,-1.087661624,0.282041132,0.054594286,0.277784811,-0.491964349,0.502668934,0.244337493,0.352883128,0.413362537,-0.093293598,-0.001034202,0.035506477,0.034096943,0.092472331,0.000068552,0.231925911,-0.326458809,1.741169927,-1.620137245,-1.09851347,-0.00019228,0.314578562,-0.000497776,0.122140351,0.310220856,-0.00728675,0.133482918
1704447581.59099,0.033477342,-0.033769675,0.018384856,0.062739786,0.111947756,0,0.258515447,1.27884841,-2.693275213,-0.673403323,0.276227683,0.052111421,0.278480953,0.485896861,0.47259182,0.261318583,0.358939404,0.401300182,-0.057772418,0.001726014,0.019053976,0.057209618,0.109425194,0.000059757,0.234951528,-0.326562139,1.741223723,-1.620141506,-1.098579516,-0.000181095,0.314578562,-0.000497776,0.122140351,0.310194529,-0.006360751,0.133441267
1704447581.60286,0.030093747,-0.035954006,0.027516427,0.062407399,0.105124032,0,0.259984493,2.112116098,-2.727754354,-0.691168368,0.328070819,0.060081284,0.155096594,-0.532116954,0.461336356,0.255458789,0.348529149,0.390250475,-0.059316381,-0.001527357,0.02804956,0.05697447,0.102680003,0.000067064,0.236920936,-0.326623925,1.741176851,-1.620100493,-1.098450619,-0.000188552,0.314578562,-0.000497776,0.122140351,0.310245944,-0.005729852,0.133429266
