__time,/record/cur_comp.0,/record/cur_comp.1,/record/cur_comp.2,/record/cur_comp.3,/record/cur_comp.4,/record/cur_comp.5,/record/cur_fb.0,/record/cur_fb.1,/record/cur_fb.2,/record/cur_fb.3,/record/cur_fb.4,/record/cur_fb.5,/record/cur_fric.0,/record/cur_fric.1,/record/cur_fric.2,/record/cur_fric.3,/record/cur_fric.4,/record/cur_fric.5,/record/cur_null.0,/record/cur_null.1,/record/cur_null.2,/record/cur_null.3,/record/cur_null.4,/record/cur_null.5,/record/pos_q.0,/record/pos_q.1,/record/pos_q.2,/record/pos_q.3,/record/pos_q.4,/record/pos_q.5,/record/pos_t.0,/record/pos_t.1,/record/pos_t.2,/record/pos_x.0,/record/pos_x.1,/record/pos_x.2
1704447350.93227,0,0,0,0,0,0,-0.498939902,2.008479595,-3.609398603,-0.610029936,-0.535222054,-0.776975572,0,0,0,0,0,0,0,0,0,0,0,0,-0.01331261,-0.348947606,1.718103224,-1.400275187,-1.054548941,-0.100397445,0.314498958,-0.000582294,0.122176464,0.312964377,-0.031826203,0.123163484
1704447350.94313,0,0,0,0,0,0,-0.799992144,1.974178791,-3.579492092,-0.189993694,-0.621618807,-0.425850987,0,0,0,0,0,0,0,0,0,0,0,0,-0.013375993,-0.348958259,1.717280839,-1.394960051,-1.05474495,-0.103375391,0.314498958,-0.000582294,0.122176464,0.313198783,-0.030604055,0.123258868
1704447350.9541,0,0,0,0,0,0,-0.696323931,1.835844278,-3.827059746,-0.374456495,-0.610002756,-0.139188677,0,0,0,0,0,0,0,0,0,0,0,0,-0.01375576,-0.348961454,1.717044351,-1.389323204,-1.055000081,-0.106459865,0.314498958,-0.000582294,0.122176464,0.31318703,-0.029400584,0.12323036
1704447350.96555,0,0,0,0,0,0,-0.478198022,1.785306573,-3.959865332,-0.680253506,-0.276287615,-0.127776042,0,0,0,0,0,0,0,0,0,0,0,0,-0.014539794,-0.348978499,1.716873908,-1.383441879,-1.055699427,-0.109452192,0.314498958,-0.000582294,0.122176464,0.3130254,-0.028253057,0.123185279
1704447350.97644,0,0,0,0,0,0,-0.60468632,1.691894531,-4.028583527,-0.443115234,-0.038603991,-0.972568631,0,0,0,0,0,0,0,0,0,0,0,0,-0.014892397,-0.348990217,1.716591613,-1.377952571,-1.056594249,-0.111715879,0.314498958,-0.000582294,0.122176464,0.312875117,-0.027055693,0.123177228
1704447350.98727,0,0,0,0,0,0,-0.512172163,1.64046514,-3.874327183,-0.19574587,-0.056677647,-0.365460187,0,0,0,0,0,0,0,0,0,0,0,0,-0.01532809,-0.349004065,1.716005185,-1.372311996,-1.057352717,-0.114756677,0.314498958,-0.000582294,0.122176464,0.31287844,-0.025853034,0.123240041
1704447350.99827,0,0,0,0,0,0,-0.386254311,1.55963099,-3.781987429,-0.662020624,-0.185584888,0.155378073,0,0,0,0,0,0,0,0,0,0,0,0,-0.01615367,-0.349011522,1.715413431,-1.366500979,-1.057463505,-0.118022777,0.314498958,-0.000582294,0.122176464,0.313047454,-0.024750682,0.123313079
1704447351.00922,0,0,0,0,0,0,-0.397452414,1.427222729,-3.873095989,-0.429721713,-0.241699219,-0.258451402,0,0,0,0,0,0,0,0,0,0,0,0,-0.01657658,-0.349029631,1.715114092,-1.361045227,-1.057496528,-0.120526149,0.314498958,-0.000582294,0.122176464,0.313138673,-0.023605845,0.12332899
1704447351.02028,0,0,0,0,0,0,-0.408951372,1.30644083,-3.786621094,-0.049504176,-0.236225024,-1.078350425,0,0,0,0,0,0,0,0,0,0,0,0,-0.01708045,-0.349041349,1.714661354,-1.356181229,-1.057518898,-0.122904884,0.314498958,-0.000582294,0.122176464,0.313294329,-0.022626223,0.123390269
1704447351.0312,0,0,0,0,0,0,-0.662020624,1.173981786,-3.769637823,-0.351227969,-0.207490206,-0.300626814,0,0,0,0,0,0,0,0,0,0,0,0,-0.017185379,-0.349047741,1.714376929,-1.351043992,-1.05757802,-0.125423702,0.314498958,-0.000582294,0.122176464,0.313389269,-0.021455241,0.123419904
